Company,Violation,Date,Action,Case Number,Link
The Service Center Title Agency Inc,Failed  to Report Transactions,2017-07-21,"$2,598  Fine & Refund Consumers",15651-AG17-0518-116,https://www.in.gov/idoi/files/enforcement/15651-AG17-0518-116.pdf
"Thomas Title Co Inc, dba Ellison Abstract  & Titles",Fail to  input into RREAL IN database,2015-05-21,$1410  Fine,13916-AG15-0504-123,https://www.in.gov/idoi/files/enforcement/13916%20thomas%20title.pdf
"Thoroughbred Financial Services, LLC",Failure  to report Administrative action in a timely manner,2020-04-09,$250.00  fine,19006-AG20-0218-032,https://www.in.gov/idoi/files/enforcement/19006-AG20-0218-032.pdf
Ticor Title Insurance Company,Lack of  Fitness/Trustworthiness,2009-07-10,"$10,850.00  Fine",8129-CO09-0609-010,https://www.in.gov/idoi/files/enforcement/8129-CO09-0609-010b.pdf
"Timios, Inc.",Failure  to input Real Estate transaction into RREAL database,2019-10-11,"$13,200.00  Civil Penalty",18494-AG19-0913-124,https://www.in.gov/idoi/files/enforcement/18494-AG19-0913-124.pdf
Titan Indemnity Company,Late or  incomplete Response,2004-08-24,$1000.00  fine,1541-IDOI-CO04-008,https://www.in.gov/idoi/files/enforcement/1541-IDOI-CO04-008b.pdf
"Title Alliance of Indy Metro, LLC",Failure  to enter 493 RREAL transactions,2023-02-16,"$5,330 civil penalty",21913-AG23-0110-005,https://www.in.gov/idoi/files/enforcement/21913-AG23-0110-052.pdf
"Title Express, Inc.",Employed Non-Licensed Agents,2009-06-17,"$1,000 Civil Penalty",6829-AG09-0427-079,https://www.in.gov/idoi/files/enforcement/6829%20Title%20Express%20FO_001.pdf
"Title Guaranty & Abstract Company, Inc",Expired  License,2019-05-17,Civil  Penalty $1972.00 closings W/lapsed licensure,18064-AG19-0401-041,https://www.in.gov/idoi/files/enforcement/18064-AG19-0401-041.pdf
"Title Insurance Services, Inc",Employed  Non-Licensed Agent,2015-02-06,1302.50 Civil Penalty,13517-AG15-0121-009,https://www.in.gov/idoi/files/enforcement/13517%20title%20insurance.pdf
"Title Links, LLC",Failure  to enter RREAL transactions into database,2016-10-27,Administrative  Penalty $1000.00,15595-AG16-0928-182,https://www.in.gov/idoi/files/enforcement/15595-AG16-0928-182b.pdf
"Title Professionals, Inc",Lack of Fitness/Trustworthiness,2009-03-17,"$1,000 Civil Penalty",7665-CO08-1204-028,https://www.in.gov/idoi/files/enforcement/7665%20title%20pro.pdf
"Title Services, LLC",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-04-22,Fine  $7870.00,14964-AG16-0307-042,https://www.in.gov/idoi/files/enforcement/14964-AG16-0307-042b.pdf
"Total Financial Group, Inc.",Failure  to submit list of appointments,2007-10-27,Vacate  Suspension Order,6006-AG07-1005-269,https://www.in.gov/idoi/files/enforcement/6006-AG07-1005-269b.pdf
"Transfer National, Inc",Failed  to enter 495 RREAL transactions,2023-02-16,"$5,350  civil penalty",21893-AG23-0113-007,https://www.in.gov/idoi/files/enforcement/21893-AG23-0113-007.pdf
TRG Settlement Services LLP,Failed  to Report Transactions,2017-11-03,"$3,760  Fine",16387-AG17-1019-177,https://www.in.gov/idoi/files/enforcement/16387-AG17-1019-177.pdf
"Trident Life Services, Inc",Failure  to report other states action,2023-05-09,$250  Civil penalty,21853-AG22-1027-193,https://www.in.gov/idoi/files/enforcement/21853-AG22-1027-193.pdf
"TruBen Group, Inc./Robert Brian Schelle",Failure  to submit list of appointments,2007-07-05,License  Suspension,5518-AG07-0607-144,https://www.in.gov/idoi/files/enforcement/5518-AG07-0607-144b.pdf
True Concept Title Inc,Failure  to enter Transactions into the RREAL IN,2015-01-23,Fined  $1070,12901-AG14-0610-116,https://www.in.gov/idoi/files/enforcement/12901%20true%20concept.pdf
"True Title Servicess, LLC",Failure  to enter RREAL transactions into database,2016-08-05,Administrative  Penalty $1350.00,15452-AG16-0712-144,https://www.in.gov/idoi/files/enforcement/15452-AG16-0712-144b.pdf
"Trustage Insurance Agency, LLC",Lack of  Fitness/Trustworthiness,2018-10-01,"$10,000  Fine",17080-AG18-0628-110,https://www.in.gov/idoi/files/enforcement/17080-AG18-0628-110.pdf
Unique Consumer Services,Unlicensed  Entity,2008-03-11,Emergency  Cease & Desist Order.,6424-AG08-0307-080,https://www.in.gov/idoi/files/enforcement/6424-AG08-0307-080b.pdf
Unique Insurance Company,Claim Handling,2012-04-10,$636.45 Settlement,11069-CO12-0319-008,https://www.in.gov/idoi/files/enforcement/11069%20pekin%20fo_001.pdf
Unique Insurance Company,Motion  to Terminate Final Order,2015-03-20,Terminated  Final Order,11563-MC12-0831-0071,https://www.in.gov/idoi/files/enforcement/11563-MC12-0831-0071b.pdf
United Financial Systems Corp.,Market Conduct Exam,2011-01-28,Suspension Order,9491-MC10-0809-002,https://www.in.gov/idoi/files/enforcement/9491%20united%20financial%20su_001.pdf
United Health Care Insurance Company,Multi-State  Settlement Agreement,2007-07-27,"298,112.00  Monetary Penalty",3177-MC07-0727-049,https://www.in.gov/idoi/files/enforcement/3177-MC07-0727-049b.pdf
United Health Care Insurance Company,Claim  Handling,2009-08-19,$5000.00  Admin fee,6602-CO08-0513-014,https://www.in.gov/idoi/files/enforcement/6602-CO08-0513-014b.pdf
United Healthcare Insurance Company,Failure  to Respond,2005-01-05,$7500.00  fine,1524-IDOI-CO04-014,https://www.in.gov/idoi/files/enforcement/1524-IDOI-CO04-014b.pdf
United Healthcare Insurance Company of  Illinois,Failure  to Respond to Consumer Complaint w/in 20 days,2005-03-07,$7500.00  fine,1786-CO05-0217-005,https://www.in.gov/idoi/files/enforcement/1786-CO05-0217-005b.pdf
Universal Casualty Company,Market Conduct Exam,2009-06-11,"$200,000 fine to be deposited in the General Fund;  No longer allowed to write new business as of 7/1/2009",6651-MC08-0326-002,https://www.in.gov/idoi/files/enforcement/Final%20Order%20with%20Attachments.pdf
"Vantage Point Title, Inc",Failure  to enter Transactions into the RREAL IN,2015-01-07,Fined  $3560,12902-AG14-0527-099,https://www.in.gov/idoi/files/enforcement/12902%20vantage%20point.pdf
Vee Technologies,Not  Licensed as TPA,2017-04-06,1 Year  Probationary TPA License,15511-CO16-0816-004,https://www.in.gov/idoi/files/enforcement/15511-CO16-0816-004b.pdf
Vetinsure LLC,Failure  to Disclose License Denial,2016-11-14,License  Denial,15313-AD16-1107-090,https://www.in.gov/idoi/files/enforcement/15313-AD16-1107-090.pdf
"Vetinsure, LLC",Other  states action,2020-10-29,Nonrenewal  of License,19051-AD20-0324-063,https://www.in.gov/idoi/files/enforcement/19051-AD20-0324-063B.pdf
Victoria Fire & Casualty Co.,Unauthorized  Producer,2003-07-02,$5000.00  fine,IDOI-CO03-003,https://www.in.gov/idoi/files/enforcement/IDOI-CO03-003b.pdf
"Viking Administrators, LLC",No License,2010-03-31,Emergency Cease & Desist Order.,9181-CO10-0330-004,https://www.in.gov/idoi/files/enforcement/9181%20em%20cd_001.pdf
"Village Title, Inc.",Lack of  Fitness/Trustworthiness,2009-10-16,License  Revoked,7480-AG08-1003-263,https://www.in.gov/idoi/files/enforcement/7480-AG08-1003-263b.pdf
"Waldorf Risk Solutions, LLC",Failure  to submit list of appointments,2015-05-21,Lift of  Suspension order,13702-AG15-0303-046,https://www.in.gov/idoi/files/enforcement/13702-AG15-0303-046b.pdf
"Watson Wyatt Insurance Consulting, Inc.",Lack of  Fitness/Rebating,2009-04-17,$2000.00  Civil Penalty,6449-AG08-1218-298,https://www.in.gov/idoi/files/enforcement/6449-AG08-1218-298b.pdf
"Wells County Land Title, Co, Inc",Failure  to issue final policies within 45 days,2015-04-02,"$2,000  Fine",13807-AG15-0309-080,https://www.in.gov/idoi/files/enforcement/13807%20wells%20co.pdf
"WFG Lenders Services, LLC",Overcharging  on Premium Fees,2020-06-18,$10000.00  fine/11199.60 Restitution,18817-AG20-0115-017,https://www.in.gov/idoi/files/enforcement/18817-AG20-0115-017.pdf
Wholesale Insurance Marketing Group a/k/a  WIMG,No License,2009-05-14,Emergency Cease & Desist Order.,8250-AG09-0512-091,https://www.in.gov/idoi/files/enforcement/8250%20c%20&d_001.pdf
Wolverine Mutual Insurance Company,Lack of  Fitness/Trustworthiness,2008-07-02,$2500.00  fine,7060-CO08-0617-021,https://www.in.gov/idoi/files/enforcement/7060-CO08-0617-021b.pdf
"Wood County Insurance Agency, Inc.",Failure  to submit list of appointments,2015-10-09,Lift of  Suspension order,13755-AG15-0303-071,https://www.in.gov/idoi/files/enforcement/13755-AG15-0303-071b.pdf
"WT&S Title, LLC",Change of Address Violation,2009-06-17,$250 Civil Penalty,7538-AG09-0526-111,https://www.in.gov/idoi/files/enforcement/7538%20WT&F%20fo_001.pdf
"Your Title Company, Inc. dba Enterprise  Title",Failure  to adhere to the Good Funds Law,2016-11-18,Administrative  Penalty of $1000.00,15700-AG16-1031-193,https://www.in.gov/idoi/files/enforcement/15700-AG16-1031-193b.pdf
YourPeople Inc,Lack of  Fitness/Trustworthiness,2017-08-03,"$50,000.00 Fine",16303-MC17-0621-002,https://www.in.gov/idoi/files/enforcement/16303-MC17-0621-002.pdf
1st and Goal Inc.,Failure to Respond,2009-05-21,Suspension of License,7980-AG09-0515-093,https://www.in.gov/idoi/files/enforcement/7980%20fo.pdf
"A & R Closing and Title, Inc.",Failure  to Provide List of Appointments,2007-09-10,License  Suspended,5601-AG07-0827-231,https://www.in.gov/idoi/files/enforcement/5601-AG07-0827-231b.pdf
A.D. Banker & Company,Obtaining  License Exam test questions for agents,2001-12-13,"$50,000.00 fine & Probation until  10-17-2003",1579-IDOI-CO01-022,https://www.in.gov/idoi/files/enforcement/1579-IDOI-CO01-022b.pdf
"A-1 Title, Inc",Lack of Fitness/Trustworthiness,2012-10-16,Permanent Revocation of License,10621-AG11-0919-126,https://www.in.gov/idoi/files/enforcement/10621%20grubb%20fo.pdf
"AAT Services, Inc.",Failure to Respond,2009-05-21,Suspension of License,7984-AG09-0515-095,https://www.in.gov/idoi/files/enforcement/7984%20fo.pdf
"Absolute Title Services, LLC",Failure  to maintain an active license,2015-01-07,$1000.00  Penalty,13103-AG14-1021-194,https://www.in.gov/idoi/files/enforcement/13103-AG14-1021-194b.pdf
"Abstract & Title Guaranty Co., Inc.",Failure  to Adhere to Good Funds Law,2015-10-06,"$2,250  Administrative Penalty",14228-AG15-0915-247,https://www.in.gov/idoi/files/enforcement/14228-AG15-0915-247.pdf
"Abstracts of Richmond, Inc.",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2017-01-20,Administrative  Penalty $1000.00,15824-AG16-1228-203,https://www.in.gov/idoi/files/enforcement/15824-AG16-1228-203b.pdf
Accufast Holdings LLC,Failure  to Report RREAL IN,2013-09-25,$6060  Civil Penalty,12375-AG13-0819-099,https://www.in.gov/idoi/files/enforcement/12375%20accufast%20holdings.pdf
"Accurate Land Title, LLC",Lack of Fitness/Trustworthiness,2010-03-05,Emergency Cease & Desist Order.,9182-AG10-0304-038,https://www.in.gov/idoi/files/enforcement/Accurate%20Land%20Title%20C%20%20D.pdf
"Action Title & Escrow, LLC",Over  charging on premiums,2015-05-08,$8090.00  Penalty,13108-AG14-1202-210,https://www.in.gov/idoi/files/enforcement/13108-AG14-1202-210b.pdf
Aculink Mortgage Solutions,Failure to Respond,2009-05-21,Suspension of License,7990-AG09-0515-097,https://www.in.gov/idoi/files/enforcement/7990%20fo.pdf
Adova Health Association,No License,2007-09-13,Emergency Cease & Desist Order.,3350-AG07-0911-255,https://www.in.gov/idoi/files/enforcement/3350-AG07-0911-255b.pdf
"Adroit Health Group, LLC",Failure  to submit list of appointments,2021-11-18,Suspension  Lifted,20444-AG21-0525-110,https://www.in.gov/idoi/files/enforcement/20444-AG21-0525-110b.pdf
Advance Title Company,Failure to Respond,2009-05-21,Suspension of License,7991-AG09-0515-098,https://www.in.gov/idoi/files/enforcement/7991%20fo.pdf
"Advantis Title Solutions, Inc.",Lack of Fitness/Trustworthiness,2009-01-03,1 Year probation,7128-AG08-1020-268,https://www.in.gov/idoi/files/enforcement/7128%20FO.pdf
Agency Title Inc,Failure  input real estate policies into the REAL IN database,2016-07-23,"$10,747  Fine & Refund to Customer",14809-AG16-0502-112,https://www.in.gov/idoi/files/enforcement/14809-AG16-0502-112.pdf
Alfa Vision Insurance Corporation,Claim  Handling,2011-04-15,Settlement  Per Agreed Entry,10202-CO11-0330-006,https://www.in.gov/idoi/files/enforcement/10202-CO11-0330-006.pdf
"All Real Estate Solutions, LLC",Failure to Respond,2009-05-21,Suspension of License,7999-AG09-0515-100,https://www.in.gov/idoi/files/enforcement/7999%20fo.pdf
Allyn Abstract Co. Inc.,Failure  to enter RREAL transactions into database,2016-08-12,Fine  $1090.00,15379-AG16-0627-135,https://www.in.gov/idoi/files/enforcement/15379-AG16-0627-135b.pdf
"AMC Settlement Services, LLC",Failure  to enter 52 RREAL transactions,2023-05-04,$920  civil penalty,22220-AG23-0324-058,https://www.in.gov/idoi/files/enforcement/22220-AG23-0324-058.pdf
American Bankers Insurance Company of  Florida,Unfair  Claim Settlement,2007-02-22,"$37,500 fine + $50,000 donation to Red Cross",3064-CO06-0815-006,https://www.in.gov/idoi/files/enforcement/3064-CO06-0815-006b.pdf
American Family Life Assurance Company of  Columbus (AFLAC),Unfair Insurance Practices,2010-08-23,Provide Coordinator With Memos About Training  Practices and Termination Procedures,8974-CO10-0730-009,https://www.in.gov/idoi/files/enforcement/8974%20aflac%20fo_001.pdf
American Freedom Insurance Company,Claim Handling,2012-04-18,"$5,000 Administrative Fine; $5,261.80 Restitution",11090-CO12-0326-009,https://www.in.gov/idoi/files/enforcement/11090%20americanfreedom%20fo_001.pdf
"American Health Advantage, LLC/aka American  Advantage Health",No  License,2008-08-04,Cease  & Desist,7197-AG08-0730-231,https://www.in.gov/idoi/files/enforcement/7197-AG08-0730-231b.pdf
"American Home Title, LLC",Failure  to input RREAL into Database,2016-04-29,$2380.00  fine,14953-AG16-0330-075,https://www.in.gov/idoi/files/enforcement/14953-AG16-0330-075.pdf
"American Hunting Lease Association, LLC",Conducting  business while unlicensed,2022-11-10,Cease  and desist order,20795-AG22-1031-195,https://www.in.gov/idoi/files/enforcement/20795-AG22-1031-195.pdf
"American Intergrity Title, Inc",Employed  Non-Licensed Agent,2014-12-19,$2644  Fine,13110-AG14-0908-159,https://www.in.gov/idoi/files/enforcement/13110%20american%20intergrity.pdf
American National Title Corperation,Failure to Respond,2009-05-21,Suspension of license,8008-AG09-0515-102,https://www.in.gov/idoi/files/enforcement/8008%20fo.pdf
"Americans For Affordable Healthcare, Inc.",No License,2010-09-29,Permanent Cease & Desist,7861-AG09-1109-229; 8534-AG09-1109-230,https://www.in.gov/idoi/files/enforcement/7861%20speny%20%20assoc%20fo_001.pdf
America's Settlement Company,Failure to enter RREAL transactions into database,2023-08-03,$2830.00 fine,22223-AG23-0403-062,https://www.in.gov/idoi/files/enforcement/22223-AG23-0403-062.pdf
Americas Title Corporation,"Overcharging  Premiums, Failure to input Transactions into RREAL database",2015-12-22,$1000.00  fine,15222-AG16-1114-195,https://www.in.gov/idoi/files/enforcement/15222-AG16-1114-195b.pdf
"Anthem Insurance Companies, Inc.",Unfair Claims,2008-10-20,$5000 fine,6626-CO08-0915-025,https://www.in.gov/idoi/files/enforcement/6626_fo_001.pdf
AON Corporation,Multi-State  Settlement Agreement,2010-05-21,"Indiana  Policyholder Restitution $2,761,393.00",3120-CO06-0724-036,https://www.in.gov/idoi/files/enforcement/3120-CO06-0724-036b.pdf
"A-One Title, LLC",Lack of  Fitness,2014-08-28,License  Revoked for 10 years/$5000.00 fine,12052-AG14-0306-029,https://www.in.gov/idoi/files/enforcement/12052-AG14-0306-029c.pdf
"Apex Longevity, LLC",Selling  unauthorized Discount Medical Card Program,2019-08-16,Civil  Penalty $4500.00,17864-AG19-0306-033,https://www.in.gov/idoi/files/enforcement/17864-AG19-0306-033.pdf
Arch Express & Surplus Insurance  Company,Market Conduct Exam,2009-08-11,"$680,000 to Patient Compensation Fund",IDOI-MC07-0627-041,https://www.in.gov/idoi/files/enforcement/arch%20mc_001.pdf
"Associates Title, Inc.",Over  charging on premiums,2017-04-28,$1100.00  fine,15708-AG17-0310-059,https://www.in.gov/idoi/files/enforcement/15708-AG17-0310-059.pdf
"Association Healthcare Management, Inc.  d/b/a Family Care",Unfair Insurance Practices,2009-09-25,$2500 Civil Penalty,8325-CO09-0706-013,https://www.in.gov/idoi/files/enforcement/8532%20assoc%20%20health%20fo_001.pdf
Assurance Protection Group AKA APG Corp.,Selling Insurance Without a License,2018-04-06,Emergency  Cease & Desist Order,17007-AG18-0308-028,https://www.in.gov/idoi/files/enforcement/17007-AG18-0308-028.pdf
"Atlas Title Agency, LLC",Failed  to Provide List of Appointments,2011-02-28,Suspension Order,8100-AG11-0211-027,https://www.in.gov/idoi/files/enforcement/8100%20atlas%20title%20sus.pdf
"Attorneys Title Agency of Indiana, LLC",Failure  to adhere to the Good Funds Law,2017-02-17,Fine  $500.00,15883-AG17-0123-040,https://www.in.gov/idoi/files/enforcement/15883-AG17-0123-040b.pdf
Auto-Owners Insurance Company,Claim Handling,2011-09-28,"$2,500 Administrative Fine",10489-CO11-0829-012,https://www.in.gov/idoi/files/enforcement/10489%20autoowners%20fo_001.pdf
Avenue 365 Lender Services,Failure to enter RREAL transactions into database,2023-08-03,$1930.00 fine,22227-AG23-0510-068,https://www.in.gov/idoi/files/enforcement/22227-AG23-0510-068.pdf
"B.A.S.S., LLC",Failure  to submit appointments,2007-09-10,License  Suspended,5605-AG07-0827-228,https://www.in.gov/idoi/files/enforcement/5605-AG07-0827-228b.pdf
Bancmark Financial Corporation,Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110a.pdf
Bankers Life & Casualty Company,Claim  Handling,2011-02-28,$2000.00  Administrative fine,9683-CO10-1209-014,https://www.in.gov/idoi/files/enforcement/9683-CO10-1209-014b.pdf
"Barrister Title, LLC",Failure  to Report Real Estate Transactions,2016-08-25,$6725  Penalty,15236-AG16-0801-149,https://www.in.gov/idoi/files/enforcement/15236-AG16-0801-149.pdf
Bay National Title Company,Failure  to Enter RREAL IN into Database,2018-06-01,"$7,840  Fine",16989-AG18-0426-072,https://www.in.gov/idoi/files/enforcement/16989-AG18-0426-072.pdf
"Benefit Plans of America, Inc.",Unauthorized Insurance Business,2003-08-20,Cease & Desist,1743-CO03-019,https://www.in.gov/idoi/files/enforcement/1743-CO03-019b.pdf
"Best Title Services, LLC",Lack of  Fitness,2019-12-05,$1060.00  Civil Penalty,17592-AG19-0218-021,https://www.in.gov/idoi/files/enforcement/17592-AG19-0218-021.pdf
"Better Settlement Services, LLC",Failure  to enter RREAL transactions into database,2023-11-16,$12630.00  Civil Penalty,22231-AG23-0802-115,https://www.in.gov/idoi/files/enforcement/22231-AG23-0802-115.pdf
"Bolly Title, LLC",Unlicensed  agency,2009-12-21,$883.00  Fine,7533-AG09-0518-103,https://www.in.gov/idoi/files/enforcement/7533-AG09-0518-103b.pdf
Boston Mutual Life Insurance Company,Multi-State  Regulatory Settlement,2006-07-24,$402.00  Restitution to Indiana Residents,3519-CO06-0724-035,https://www.in.gov/idoi/files/enforcement/3519-CO06-0724-035b.pdf
BRB Trust Title Agency LLC,Failure  to Enter RREAL IN into database,2018-06-22,"$1,350  Fine",16988-AG18-0522-085,https://www.in.gov/idoi/files/enforcement/16988-AG18-0522-085.pdf
"Bright & Williamson Insurance Services  II, Inc.",Misappropriation of Premium,2009-01-09,Permanent Revocation of License; $5000  Administrative Fine,7286-AG08-0821-240,https://www.in.gov/idoi/files/enforcement/7286%20buchanan%20fo_001.pdf
"Brinson Benefits, Inc.",Failure  to Timely Report Administrative Action,2021-08-03,$500.00  Civil Penalty,20620-AG21-0616-115,https://www.in.gov/idoi/files/enforcement/20620-AG21-0616-115.pdf
Brown County Abstract Company,Failure  to enter RREAL transactions into database,2017-01-20,Administrative  Penalty $950.00,15851-AG16-1229-204,https://www.in.gov/idoi/files/enforcement/15851-AG16-1229-204b.pdf
"Bruen Deldin Dido Associates, Inc.",Other  states action,2016-08-05,$250.00  fine,14984-AG16-0407-089,https://www.in.gov/idoi/files/enforcement/14984-AG16-0407-089b.pdf
"BSG Title, LLC",Failure  to input Real-Estate policies into the RREAL-IN database,2015-03-16,$2175  Fine,13673-AG15-0216-024,https://www.in.gov/idoi/files/enforcement/13673%20bsg.pdf
"Bures Insurance, Inc.",Misappropriation of Premium,2010-09-21,Permanent Revocation of License,8483-AG09-1216-244,https://www.in.gov/idoi/files/enforcement/8483%20bures%20fo_001.pdf
"Burns Insurance agency, Inc.",Failure  to disclose Misdemeanor Conviction,2017-01-17,$250  Administrative Fine,15523-AG16-0822-157,https://www.in.gov/idoi/files/enforcement/15523-AG16-0822-157.pdf
Calton & Assoc. Inc,Failure  to Timely Disclose Other State Action,2018-11-02,$250  Fine,17545-AG18-0907-140,https://www.in.gov/idoi/files/enforcement/17545-AG18-0907-140.pdf
"CareSource Indiana, Inc.",Regulatory  Settlement Agreement,2015-12-04,Regulatory  Settlement Agreement,14840-1,https://www.in.gov/idoi/files/enforcement/14840-1b.pdf
"Carpenter Title Agency, Inc.",Lack of  Fitness/Trustworthiness,2011-02-14,Permanently  Revoked,9563-AG10-0825-134,https://www.in.gov/idoi/files/enforcement/9563-AG10-0825-134b.pdf
Caterpillar Insurance Services Corp.,Unlicensed  Activity,2003-02-18,"$10,000.00  fine",1246-IDOI-AG03-024,https://www.in.gov/idoi/files/enforcement/1246-IDOI-AG03-024b.pdf
"CCS Settlement Services, LLC",Lack of Fitness/Trustworthiness,2009-05-28,License  Cancelled,6977-AG08-0527-132,https://www.in.gov/idoi/files/enforcement/6977%20henry.pdf
Centro Hispano Insurance Agency Corp,Failure  to disclose admin actions,2022-12-07,License  denial,21730-AG22-0829-149,https://www.in.gov/idoi/files/enforcement/21730-AG22-0829-149.pdf
Chapin Davis Ins Inc,Failure  to disclose consent order by another State,2015-10-02,$500.00  fine,14548-AG15-0914-243,https://www.in.gov/idoi/files/enforcement/14548-AG15-0914-243.pdf
Chicago Title Insurance Company,Lack of Fitness/Trustworthiness,2009-07-10,"$24,150 Administrative Fine.",8129-CO09-0609-011,https://www.in.gov/idoi/files/enforcement/Chicago%20Title%208129.pdf
"Chronos Title Solutions, LLC",Failure  to report RREAL IN,2019-01-18,"Civil  Penalty $5385, Restitution $2551.26",17442-AG18-1031-160,https://www.in.gov/idoi/files/enforcement/17442-AG18-1031-160.pdf
CIBA Insurance Services of California,Surplus  Lines Tax Violation,2017-01-27,Suspension  Order,15933-AG17-0109-027,https://www.in.gov/idoi/files/enforcement/15933-AG17-0109-027.pdf
"Cincy Land Title Agency, LLC",Failure  to Provide List of Appointments,2007-09-10,License  Suspension,5604-AG07-0827-229,https://www.in.gov/idoi/files/enforcement/5604-AG07-0827-229b.pdf
"Circle Pontiac-GMC Truck, Inc.",Failure  to Remit Premiums,2005-10-11,1 year  Probation W/Quarterly Reports &$2500.00 fine,1822-AG05-1011-118,https://www.in.gov/idoi/files/enforcement/1822-AG05-1011-118b.pdf
"Clear Title Group, LLC",Unlicensed  Employee,2020-12-17,3 years  Probation,19411-AG20-0717-117,https://www.in.gov/idoi/files/enforcement/19411-AG20-0717-117.pdf
"Closeline, LLC",Failure  to enter real estate transactions into RREAL database,2020-10-22,$1100.00  civil penalty,19412-AG20-0717-118,https://www.in.gov/idoi/files/enforcement/19412-AG20-0717-118.pdf
"Closing USA, LLC",Failed  to Timely Report Real Estate Transactions,2018-04-24,"$17,050  Fine",17019-AG18-0418-066,https://www.in.gov/idoi/files/enforcement/17019-AG18-0418-066.pdf
Columbian Insurance Services,Failure to Submit List of Appointments.,2007-05-23,License  Suspended,5441-AG07-0521-136,https://www.in.gov/idoi/files/enforcement/5441-AG07-0521-136.pdf
Commonwealth USA Settlements LLC,Failed  to Timely Report Real Estate Transactions,2018-04-23,"$1,270  Fine",16935-AG18-0326-041,https://www.in.gov/idoi/files/enforcement/16935-AG18-0326-041.pdf
Community Title Company,Failure  to enter Real Estate Transactions in RREAL Database,2022-03-23,$4840.00 Civil Penalty,21019-AG21-1228-242,https://www.in.gov/idoi/files/enforcement/21019-AG21-1228-242.pdf
"Cone Insurance Company, Inc.",Misrepresentation,2020-01-24,Revocation  of License,18681-AG19-1204-193,https://www.in.gov/idoi/files/enforcement/18681-AG19-1204-193.pdf
"Conestoga Title Company of Marion County,  Inc.",Failure  to Provide List of Appointments,2007-09-10,License  Suspension,5618-AG07-0827-220,https://www.in.gov/idoi/files/enforcement/5618-AG07-0827-220b.pdf
Conseco Health Insurance Company,Unfair  Claims,2009-04-15,$2500.00  Administrative Fine,6252-CO08-0229-0042,https://www.in.gov/idoi/files/enforcement/6252-CO08-0229-0042b.pdf
Consumer Driven Benefits Association of  America a/k/a CDBA,No License,2009-05-14,Emergency Cease & Desist Order.,8250-AG09-0512-091,https://www.in.gov/idoi/files/enforcement/8250%20c%20&d_001.pdf
"Contemporary Solutions-USA, Inc.",Failure  to Report Several Other states action,2011-06-02,License  permanently Revoked,9885-AG11-0217-037,https://www.in.gov/idoi/files/enforcement/9885-AG11-0217-037b.pdf
"Conway Alternative Risk Solutions, LLC",Failure  to report 2 admin actions in a timely manner,2023-03-30,$500  civil penalty,22189-AG23-0207-025,https://www.in.gov/idoi/files/enforcement/22189-AG23-0207-025.pdf
"Coventry First, LLC",Unfair  Insurance Practices,2008-08-21,"$15,000.00  Fine",5627-CO08-0424-009,https://www.in.gov/idoi/files/enforcement/5627-CO08-0424-009b.pdf
CSMB LLC,Failure  to Disclose Action,2016-03-04,Fine  $250,15082-AG16-0222-035,https://www.in.gov/idoi/files/enforcement/15082-AG16-0222-035.pdf
"CUSO Financial Services, Inc.",Failed  to Timely Report Other State Action,2018-03-12,$500  Fine,16756-AG17-1206-225,https://www.in.gov/idoi/files/enforcement/16756-AG17-1206-225.pdf
Cypress Risk Management LLC,No home  state license,2023-05-18,Suspension  order,22402-AG23-0516-070,https://www.in.gov/idoi/files/enforcement/22402-AG23-0516-070.pdf
"Daviess County Abstract Company, Inc",Lack of Fitness/Trustworthiness,2012-03-14,"$4,475 Administrative Fine; 6 Months Probation;  Suspended Until Compliance with Order",10813-AG11-1115-141,https://www.in.gov/idoi/files/enforcement/10813%20daviess%20abst%20fo_001.pdf
"Daviess County Abstract Company, Inc.",Closures  during lapsed license,2020-04-09,$3182.00  civil penalty,19025-AG20-0210-028,https://www.in.gov/idoi/files/enforcement/19025-AG20-0210-028.pdf
"Deatrick Land Title, LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5613-AG07-0827-222,https://www.in.gov/idoi/files/enforcement/5613-AG07-0827-222b.pdf
"Direct Point Insurance Services, Inc.",Other  states action,2021-09-16,$500.00  Civil Penalty,20342-AG21-0621-125,https://www.in.gov/idoi/files/enforcement/20342-AG21-0621-125.pdf
"Disaster Adjusting & Appraisal  Services, LLC",No License,2012-04-10,"Emergency Cease & Desist/$1,500 Fine & 1  Year Probation",11062-CO12-0314-006,https://www.in.gov/idoi/files/enforcement/11062%20disaster%20adj%20fo_001.pdf
"Douglass & Nelson, Inc.",Failure  to Adhere to Good Funds Law,2015-11-04,$500  Administrative Penalty,14237-AG15-0709-201,https://www.in.gov/idoi/files/enforcement/14237-AG15-0709-201.pdf
"Ed Young & Associates, LLC",Lack of  Fitness/Sale of Unauthorized Product,2008-02-14,1 Year  Probation/$15000.00 fine,5419-AG07-0501-127,https://www.in.gov/idoi/files/enforcement/5419-AG07-0501-127f.pdf
"Elite Title Agency, Inc.",Failure  to Provide List of Appointments,2007-09-10,License  Suspension,5654-AG07-0827-239,https://www.in.gov/idoi/files/enforcement/5654-AG07-0827-239b.pdf
